,lenght,datatime,date,time,x1,x2,x3,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,x4,temperature,pressure,humidity,dt1,tr1,al1,vl1,nch1,dt2,tr2,al2,vl2,nch2,dt3,tr3,al3,vl3,nch3,dt4,tr4,al4,vl4,nch4,dt5,tr5,al5,vl5,nch5,dt6,tr6,al6,vl6,nch6,dt7,tr7,al7,vl7,nch7,dt8,tr8,al8,vl8,nch8,dt9,tr9,al9,vl9,nch9,dt10,tr10,al10,vl10,nch10,dt11,tr11,al11,vl11,nch11,dt12,tr12,al12,vl12,nch12,dt13,tr13,al13,vl13,nch13,dt14,tr14,al14,vl14,nch14,dt15,tr15,al15,vl15,nch15,m1,m2,m3,m4,m5,TotalConc,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,end
0,658,1632776436,2021-09-28,00:00:36,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.259,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.624839,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.55780029296875,33316.0,11189.0,3530.0,1170.0,921.0,719.0,788.0,683.0,491.0,514.0,432.0,346.0,552.0,127.0,13.0,0
1,658,1632777637,2021-09-28,00:20:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.29,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.934016,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.735660552978516,37432.0,12852.0,4020.0,1362.0,1014.0,779.0,904.0,759.0,497.0,687.0,504.0,390.0,631.0,146.0,21.0,0
2,658,1632778837,2021-09-28,00:40:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.29,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.977107,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.756061553955078,38165.0,13013.0,3961.0,1280.0,1111.0,787.0,822.0,747.0,521.0,659.0,540.0,457.0,641.0,150.0,27.0,0
3,658,1632780037,2021-09-28,01:00:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.29,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.797012,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.64471435546875,36221.0,12339.0,3775.0,1212.0,956.0,739.0,775.0,743.0,498.0,643.0,527.0,399.0,683.0,126.0,16.0,0
4,658,1632781237,2021-09-28,01:20:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.322,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.698148,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.585075378417969,34543.0,11818.0,3617.0,1196.0,982.0,715.0,826.0,728.0,568.0,677.0,515.0,426.0,685.0,144.0,19.0,0
5,658,1632782437,2021-09-28,01:40:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.353,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.57933,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.51668930053711,33122.0,11214.0,3385.0,1119.0,887.0,674.0,735.0,732.0,571.0,591.0,534.0,401.0,709.0,136.0,26.0,0
6,658,1632783637,2021-09-28,02:00:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.322,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.495895,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.469650268554688,32025.0,10953.0,3407.0,1056.0,877.0,651.0,784.0,675.0,534.0,571.0,512.0,393.0,711.0,142.0,27.0,0
7,658,1632784837,2021-09-28,02:20:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.353,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.27569,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.334754943847656,29639.0,10238.0,3082.0,996.0,833.0,618.0,715.0,615.0,467.0,563.0,451.0,361.0,549.0,150.0,14.0,0
8,658,1632786038,2021-09-28,02:40:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.353,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,2.03687,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.197437286376953,26452.0,9197.0,2867.0,903.0,728.0,506.0,561.0,544.0,391.0,477.0,461.0,316.0,565.0,112.0,16.0,0
9,658,1632787238,2021-09-28,03:00:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.38,100.353,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.773781,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,9.042133331298828,23057.0,8423.0,2573.0,804.0,646.0,435.0,482.0,383.0,297.0,372.0,325.0,270.0,449.0,99.0,10.0,0
10,658,1632788437,2021-09-28,03:20:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.38,100.384,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.465499,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.733787536621094,18818.0,6889.0,2003.0,601.0,433.0,340.0,372.0,325.0,220.0,280.0,238.0,190.0,342.0,68.0,11.0,0
11,658,1632789637,2021-09-28,03:40:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.38,100.415,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.327425,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.579498291015625,16642.0,6022.0,1805.0,494.0,384.0,297.0,326.0,284.0,180.0,287.0,241.0,202.0,343.0,71.0,8.0,0
12,658,1632790838,2021-09-28,04:00:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.38,100.415,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.258031,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.5125732421875,15177.0,5454.0,1584.0,445.0,336.0,263.0,242.0,213.0,167.0,225.0,230.0,215.0,364.0,93.0,14.0,0
13,658,1632792038,2021-09-28,04:20:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.38,100.478,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.202075,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.454429626464844,14183.0,4877.0,1481.0,445.0,317.0,249.0,230.0,207.0,162.0,215.0,229.0,196.0,336.0,84.0,16.0,0
14,658,1632793237,2021-09-28,04:40:37,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.478,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.243598,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.508148193359375,14262.0,5030.0,1494.0,431.0,320.0,274.0,236.0,227.0,184.0,238.0,212.0,232.0,419.0,91.0,9.0,0
15,658,1632794438,2021-09-28,05:00:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.478,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.240717,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.506340026855469,14273.0,4981.0,1507.0,484.0,347.0,260.0,266.0,204.0,202.0,257.0,260.0,233.0,441.0,90.0,20.0,0
16,658,1632795638,2021-09-28,05:20:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.509,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.342629,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.606742858886719,16390.0,6214.0,1795.0,488.0,386.0,282.0,274.0,265.0,171.0,228.0,254.0,212.0,457.0,112.0,18.0,0
17,658,1632796838,2021-09-28,05:40:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.54,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.35579,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.593170166015625,17403.0,6952.0,1962.0,594.0,403.0,293.0,262.0,265.0,237.0,247.0,276.0,247.0,498.0,106.0,12.0,0
18,658,1632798038,2021-09-28,06:00:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.54,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.300389,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.552841186523438,15639.0,5992.0,1726.0,494.0,362.0,292.0,276.0,278.0,199.0,287.0,249.0,231.0,527.0,126.0,23.0,0
19,658,1632799238,2021-09-28,06:20:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.319,100.571,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.155902,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.41400146484375,12596.0,4453.0,1395.0,411.0,330.0,232.0,269.0,223.0,170.0,269.0,240.0,244.0,453.0,101.0,13.0,0
20,658,1632800439,2021-09-28,06:40:39,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.571,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.153207,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.425308227539062,11801.0,4090.0,1301.0,441.0,334.0,249.0,272.0,240.0,178.0,248.0,243.0,208.0,462.0,108.0,23.0,0
21,658,1632801638,2021-09-28,07:00:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.349,100.571,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.036931,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.280311584472656,10571.0,3850.0,1190.0,397.0,334.0,232.0,236.0,229.0,201.0,249.0,244.0,239.0,440.0,121.0,10.0,0
22,658,1632802838,2021-09-28,07:20:38,0,0,68392,1.0622252033697462e+158,0.0,2.1219957915e-314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,31.38,100.634,0.0,0.0,9436,1,1,1623129640,0.0,10094,1,1,1623129940,0.0,10752,1,1,1623130240,0.0,11410,1,1,1623130540,0.0,12068,1,1,1623130840,0.0,12726,1,1,1623131140,0.0,13384,1,1,1623131440,0.0,14042,1,1,1623131740,0.0,14700,1,1,1623132040,0.0,15358,1,1,1623132340,0.0,16016,1,1,1623132640,0.0,16674,1,1,1623132940,0.0,17332,1,1,1623133240,1.202312,0,0,0,1623133540,0.0,18648,1,1,1623133840,16,0,16,0,0,8.491096496582031,11979.0,4409.0,1453.0,493.0,413.0,285.0,272.0,286.0,207.0,305.0,259.0,244.0,456.0,123.0,21.0,0
